CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_ADDRESS1,CUSTOMER_ADDRESS2,CUSTOMER_CITY,CUSTOMER_STATE,CUSTOMER_COUNTRY,CUSTOMER_ZIPCODE,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE
54,CALPINE CORPORATION,60 EISENHOWER DR,,WESTBROOK,ME,UNITED STATES,40922009,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
55,CALPINE HIDALGO ENERGY CENTER, LP,4005 N SEMINARY RD,,EDINBURG,TX,UNITED STATES,785418097,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
56,CALPINE ONETA POWER,  LP,25142 EAST 105TH ST.,,BROKEN ARROW,OK,UNITED STATES,74014,ETL__20140617051246,4/16/2012,ADMIN,4/16/2012
57,CALPINE POWER SERVICES, INC,5001 STERLING WAY,,MILTON,FL,UNITED STATES,325712758,ETL__20140617051246,4/16/2012,ADMIN,4/16/2012
58,CANADA IMPERIAL OIL LIMITED,602 CHRISTINA ST S,,SARNIA,ON,CANADA,N7T 7M5,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
59,CANADIAN NATURAL RESOURCES LIMITED,HORIZON OIL SANDS PROJECT,25KM NORTH OF HWY 63,FORT MCMURRAY,AB,CANADA,T9H 1L2,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
60,CARDINAL COGEN,288 CAMPUS DRIVE,,STANFORD,CA,UNITED STATES,94305,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
61,CARTHAGE POWER COMPANY SARL,CENTRALE ELECTRIQUE RADES II,ROUTE DE BAC AVENUE D EL BORMA,BEN AROUSE,,TUNISIA,2040,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
62,CASCO BAY ENERGY COMPANY LLC,125 SHORE ROAD,,VEAZIE,ME,UNITED STATES,4401,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
63,CELULOSA ENERGIA SL,CARRETERA A-5000, KM 7.5,,HUELVA,HUELVA,SPAIN,21080,ETL_CM_20130209232725,4/16/2012,ADMIN,4/16/2012
64,CENTRAL PUERTO SA,AVENIDA TOMAS A. EDISON 2701,DARSENA E, ESPIGON 6?,CIUDAD DE BUENOS AIRES,,ARGENTINA,1104,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
65,CENTRAL TERMICA LITORAL DE ALMERIA AIE (EXTINGUIDA,CARRETERA AGUA AMARGA, S/N,,CARBONERAS,ALMERIA,SPAIN,4140,TALEND_2017_03_05_09_50_46,4/16/2012,ADMIN,4/16/2012
66,CHEROKEE COUNTY COGENERATION PARTNERS, LLC,132 PEOPLES CREEK RD,,GAFFNEY,SC,UNITED STATES,293404653,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
67,CHEVRON NORTH SEA LTD,NINIAN HO CRAWPEEL RD,,ABERDEEN,ABERDEENSHIRE,UNITED KINGDOM,AB12 3LG,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
68,CHIAHUI POWER CORPORATION,NO. 688, SUNG-TAI-CHIAO, SUNG SHAN VILLAGE,,MING-HSIUNG HSIAN,CHIAYI COUNTY,TAIWAN,621,TALEND_2017_06_23_09_02_36,4/16/2012,ADMIN,4/16/2012
69,CHUBU ELECTRIC POWER CO INC,,,,,,,TALEND_2016_06_10_09_37_13,4/16/2012,ADMIN,4/16/2012
